                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
63                                    吴倩;雷长群                                                                                                                                                                               中国矿业大学管理学院;国家安全生产应急救援中心;       河南大学学报(社会科学版)                                       应急预案,文献计量,共词分析,应急管理      Journal Article                                                      基于文献计量视角的我国应急预案研究综述  2019
64                                   韦海民;贺广学                                                                                                                                                                                          西安建筑科技大学管理学院;           土木工程与管理学报                      地下综合管廊,文献计量,CiteSpace,知识图谱,研究特征,研究热点      Journal Article                                                    基于CNKI的地下综合管廊研究文献计量分析  2019
65                   金菊良;陈鹏飞;陈梦璐;宁少尉;周戎星;张浩宇                                                                                                                                                                   合肥工业大学土木与水利工程学院;合肥工业大学水资源与环境系统工程研究所;                水利学报                            陈守煜,水文水资源学,模糊集,文献计量,可视化分析,知识图谱      Journal Article                                                  水文水资源学家陈守煜先生学术研究的知识图谱分析  2019
66                邓楚雄;刘俊宇;李忠武;肖海兵;聂小东;张宇婷;周咪                                                                                                                                         湖南师范大学资源与环境科学学院;中国科学院水利部水土保持研究所;广东省生态环境技术研究所/广东省农业环境综合治理重点实验室;              生态环境学报                                     生态系统服务,研究热点,研究进展,文献计量      Journal Article                                                     近20年国内外生态系统服务研究回顾与解析  2019
67                                    丁雪萌;孙健                                                                                                                                                                                          对外经济贸易大学保险学院;                江汉学术                                 养老护理员,长期护理,养老机构,养老服务,文献计量      Journal Article                                                     近二十年我国养老护理人员研究的现状与趋势  2019
68                                    黄鲁成;薛爽                                                                                                                                                                                         北京工业大学经济与管理学院;                现代情报                                       机器学习,专利分析,文献计量,国际竞争      Journal Article                                                        机器学习技术发展现状与国际竞争分析  2019
69                             周文;李俊;包卫东;刘丽霞                                                                                                                                                              国防科技大学系统工程学院;国防科技大学文理学院;湖南机电职业技术学院经济贸易学院;            高等教育研究学报                          BOPPPS模型,CiteSpace,知识图谱,文献计量,可视化      Journal Article                                                      国内BOPPPS模型研究的知识图谱分析  2019
70                                   向运华;王晓慧                                                                                                                                                              教育部人文社会科学重点研究基地武汉大学社会保障研究中心;武汉大学社会保障研究中心;     华中科技大学学报(社会科学版)                                             老年健康,老龄化,文献计量      Journal Article                                            国内老年健康的研究现状与反思——基于CNKI的文献计量分析  2019
71                            巩杰;徐彩仙;燕玲玲;郭青海                                                                                                                                                     兰州大学资源环境学院/西部环境教育部重点实验室;浙江理工大学建筑工程学院;中国科学院城市环境研究所;              应用生态学报                                生态系统服务,文献计量,研究进展,研究热点,研究趋势      Journal Article                                                1997—2018年生态系统服务研究热点变化与动向  2019
72                               赵蓉英;余慧妍;李新来                                                                                                                                                                                            武汉大学信息管理学院;               图书馆论坛                                      知识管理系统,文献计量,可视化,对比研究      Journal Article                                                 国内外知识管理系统研究态势(2009-2018)  2020
73                                   杨建春;王佳联                                                                                                                                                                                            贵州财经大学工商学院;              贵州民族研究                                      民族地区,旅游扶贫,回顾与展望,文献计量      Journal Article                                                民族地区旅游扶贫研究回顾与展望——基于文献计量分析  2019
74                                       贾丙瑞                                                                                                                                                                              中国科学院植物研究所植被与环境变化国家重点实验室;              植物生态学报                                     凋落物分解,中国,文献计量,生态化学计量学      Journal Article                                                              凋落物分解及其影响机制  2019
75                           杨朦晰;陈万思;周卿钰;杨百寅                                                                                                                                                                    清华大学经济管理学院;华东理工大学商学院案例中心;华东理工大学商学院;              南开管理评论                                             领导力,中国情境,知识图谱      Journal Article                                       中国情境下领导力研究知识图谱与演进：1949-2018年题名文献计量  2019
76                               张一兵;葛新权;王宗水                                                                                                                                                                          北京信息科技大学经济管理学院;中国科学院大学数学科学学院;              商业经济研究                                     品牌营销,社会网络分析,文献计量,共现系数      Journal Article                                                    基于文献分析视角的我国品牌营销发展趋势分析  2019
